,name,artist_id,popularity,followers
118,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,82,6595662
119,Sofía Reyes,0haZhu4fFKt0Ag94kZDiz2,69,2739264
120,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,62,108649
121,Tesher,49YbNTLaaAbZHLtDI2aPGL,59,106959
122,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,81,18710169
123,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,79,23625643
124,Clean Bandit,6MDME20pz9RveH9rEXvrOM,74,4978809
125,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,84,14558147
126,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,73,982806
127,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,75,7355208
128,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,80,18065700
129,Romeo Santos,5lwmRuXgjX8xIwlnauTZIP,81,16962252
130,Dalex,0KPX4Ucy9dk82uj4GpKesn,75,4354552
131,Bizarrap,716NhGYqD1jl2wI1Qkgq36,85,7839654
132,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,81,24996087
133,Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,77,2859444
134,Blessd,1TA5sGRlKUJXBN4ZyJuDIX,74,1363075
135,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,81,20361732
136,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,81,10791902
137,Pitbull,0TnOYISbd1XYRBk9myaseg,81,9693041
138,Lil Baby,5f7VJjfbwm532GiveGC0ZK,89,12154289
139,NAV,7rkW85dBwwrJtlHRDkJDAC,75,3140204
140,DaBaby,4r63FhuTkUYltbVAg5TQnk,81,10268248
141,Quality Control,6i392l38cR3uBPF0DbNs7S,66,1104161
142,Mac Miller,4LLpKhyESsyAXpc4laK94U,82,8213514
143,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,75,15654152
144,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,82,11488831
145,21 Savage,1URnnhqYAYcrqrcwql10ft,92,12071115
146,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,80,4076345
147,Lasso,3SCOuAxngTC1yGjKMcIPEd,72,450996
148,Carlos Vives,4vhNDa5ycK0ST968ek7kRr,73,5627207
149,Lin-Manuel Miranda,4aXXDj9aZnlshx7mzj3W1N,71,541480
150,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,83,22059475
151,GloRilla,2qoQgPAilErOKCwE2Y8wOG,68,107213
152,Lizzo,56oDRnqbIiwx4mymNEv7dS,78,5171064
153,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,77,11533850
154,Lil Wayne,55Aa2cqylxrFIXC767Z865,84,12828499
155,Metallica,2ye2Wgw4gimLv2eAKyk1NB,81,22790700
156,Mora,0Q8NcsJwoCbZOHHW63su5S,85,1035432
157,Chris Lebron,3GPTvhZ8XfH7WkHXidvELk,66,184609
158,Dímelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,69,339721
159,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,63,234569
160,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,81,12066906
161,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,78,11343635
162,Alok,0NGAZxHanS9e0iNHpR8f2W,78,11884317
163,Young Thug,50co4Is1HCEo8bhOyUWKpn,83,7626307
164,Young Stoner Life,1xr2G8Hlx4QWmT9HaUbmoO,63,95897
165,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,70,1991891
166,salem ilese,3QJUFtGBGL05vo0kCJZsmT,65,284454
167,Major Lazer,738wLrAtLtCtFOLvQBXOXp,73,6316929
168,Wale,67nwj3Y5sZQLl72VNUHEYE,69,3853441
169,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,82,8933475
170,2 Chainz,17lzZA2AlOHwCwFALHttmp,75,7492375
171,"Juicy J, Wiz Khalifa & Ty Dolla $ign",3C3RrU7G8jAZEP6X8YFCHC,0,9789
172,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,77,9635695
173,AC/DC,711MCceyCBcFnzjGY4Q7Un,80,24890975
174,Blxst,4qXC0i02bSFstECuXP2ZpL,71,355606
175,Tyga,5LHRHt1k9lMyONurDHEdrp,79,6680731
176,P!nk,1KCSPY1glIKqW2TotWuXOR,79,14063982
177,John Mayer,0hEurMDQu99nJRq8pTxO14,76,5683525
178,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,82,8116055
179,Mustard,0YinUQ50QDB7ZxSCLyQ40k,73,1009835
180,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,76,4544235
181,Logic,4xRYI6VqpkE3UwrDrAZL8L,75,5811035
182,James Arthur,4IWBUUAFIplrNtaOHcJPRM,79,10603899
183,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,75,2516728
184,Sigala,1IueXOQyABrMOprrzwQJWN,73,1485827
185,Little Mix,3e7awlrlDSwF3iM0WBjGMp,76,10908483
186,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,77,10255129
187,88rising,1AhjOkOLkbHUfcHDSErXQs,68,858120
188,Lauv,5JZ7CnR6gTvEMKX4g70Amv,76,5388290
189,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,83,9926658
190,Diplo,5fMUXHkw8R8eOP2RNVYEZX,77,2510983
191,Jack Ü,1HxJeLhIuegM3KgvPn8sTa,58,1073739
192,Silk City,2X97ZAqRKRMYFIDqtvGgGc,55,77367
193,Joji,3MZsBdqDrRTJihTHQrO6Dq,86,7384722
194,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,83,10233373
195,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,76,1953535
196,Rudimental,4WN5naL3ofxrVBgFpguzKo,67,1341553
197,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,73,2589961
198,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,80,6883744
199,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,81,8692315
200,sped up nightcore,0M2CO5ijP35MDhNwvpgxTV,74,45113
201,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,83,9956844
202,Quavo,0VRj0yCOv2FXJNP47XQnx5,80,6074837
203,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,80,11522327
204,NF,6fOMl44jA4Sp5b9PpYCkzz,78,7644870
205,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,78,8978143
206,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,78,2574413
207,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,75,5707198
208,Zedd,2qxJFvFYMEDqd7ui6kSAcq,74,5842840
209,Mulan - Cast,3AV16ISX9uoQFOUKJNHLJ5,0,300
210,Descendants – Cast,4J79AY6Z2927FTTAgHChuv,0,2583
211,Alan Menken,5sy77gt4bfsLcSQ8GIe4ZZ,59,101427
212,ZOMBIES – Cast,2L7RaHwfVU6ge64IJF8GO5,64,41507
213,High School Musical Cast,2gUMs9PE8XZVQyzCDqaYmW,61,1277542
214,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,85,34623085
215,$uicideboy$,1VPmR4DJC1PlOtd0IADAO0,84,4796091
216,Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,79,3112599
217,Green Day,7oPftvlwr6VrsViSDV7fJY,78,13550082
218,Nirvana,6olE6TJLqED3rqDCT0FyPh,80,16334970
219,SZA,7tYKF4w9nC0nq9CsPZTHyP,83,8754479
220,Summer Walker,57LYzLEk2LcFghVwuWbcuS,79,4293226
221,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,80,10909396
222,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,81,1991209
223,Mr. Probz,33W1pnW9zScZtYTnAoWnOT,62,321701
224,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,81,2988140
225,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,79,3791534
226,Lilly Wood and The Prick,50OApTJurDusIo9dGTqSU4,60,239873
227,Topic,0u6GtibW46tFX7koQ6uNJZ,73,190063
228,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,76,11026130
229,Trolls,05S6yFOzexsgurWstJlBqK,30,42320
230,Justin Timberlake,31TPClRtHm23RisEBtV3X7,78,12362507
231,The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,84,10737400
232,blackbear,2cFrymmkijnjDg9SS92EPM,78,4804464
233,BoyWithUke,1Cd373x8qzC7SNUg5IToqp,76,2637002
234,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,73,4455049
235,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,80,10113191
236,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,75,8564031
237,NEIKED,5H6xmHXjsq98NLbEjuE29f,65,131644
238,Marília Mendonça,1yR65psqiazQpeM79CcGh8,82,27224441
239,Hugo & Guilherme,1LIuN7ov1IBQDdLsU83ojl,78,830250
240,George Henrique & Rodrigo,3FlCKtwOEYQQYyGVEbxG2Z,66,1416821
241,LUDMILLA,3CDoRporvSjdzTrm99a3gi,74,5503022
242,TINI,7vXDAI8JwjW531ouMGbfcp,77,5201509
243,PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,69,1998786
244,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,83,7722007
245,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,78,8972379
246,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,74,10355936
247,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,75,10989010
248,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,78,17838199
249,Britney Spears,26dSoYclwsYLMAKD3tpOr4,80,11528619
250,ALTÉGO,2f1gRV8q7Wua3x7dkoWrbS,58,64111
251,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,77,12334056
252,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,79,26557708
253,Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,80,5527364
254,Fivio Foreign,14CHVeJGrR5xgUGQFV5BVM,71,1040703
255,Flo Rida,0jnsk9HBra6NMjO2oANoPY,77,8701603
256,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,81,6148125
257,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,80,4412189
258,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,75,6299838
259,Marca MP,44mEtidu0VdRkIqO4IbkNa,71,1535513
260,Russ,1z7b1Pr1rSlvWRzsW3HOrS,76,4599217
261,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,73,7021887
262,Internet Money,6MPCFvOQv5cIGfw3jODMF0,70,673502
263,Lil Durk,3hcs9uc56yIGFCSy9leWe7,82,4776801
264,Polo G,6AgTAQt8XS6jRWi4sX7w49,82,8636824
265,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,79,5865635
266,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,73,3666946
267,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,78,10016892
268,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,79,9543124
269,50 Cent,3q7HBObVc0L8jNeTe5Gofh,82,9704793
270,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,79,5701575
271,Witt Lowry,5ghnxpW47ojtLHHyTLdxdY,62,541990
272,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,74,5188812
273,Yuridia,5B8ApeENp4bE4EE3LI8jK2,76,3086241
274,Christian Nodal,0XwVARXT135rw8lyw1EeWP,81,12499529
275,Banda MS de Sergio Lizárraga,2C6i0I5RiGzDKN9IAF8reh,79,16456846
276,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,79,7479916
277,ELVIS (Original Motion Picture Soundtrack),0wSptim34zryhQliDEUeQT,0,22140
278,Luke Combs,718COspgdWOnwOFpJHRZHS,80,7488949
279,Lorde,163tK9Wjr9P9DmM0AVK7lm,75,9884110
280,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,76,8719099
281,Hozier,2FXC3k01G6Gw61bmprjgqS,77,5288221
282,MEDUZA,0xRXCcSX89eobfrshSVdyu,76,570737
283,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,72,696910
284,Usher,23zg3TcAtWQy7J6upgbUnj,78,10118166
285,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,73,5792964
286,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,80,8321380
287,Latto,3MdXrJWsbVzdn6fe5JYkSQ,71,914326
288,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,70,2243582
289,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,81,7204846
290,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,84,10797301
291,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,76,8595613
292,Fuego,7wU2WGCJ8HxkekHHE2QLul,66,258446
293,MYA,6lHL3ubAMgSasKjNqKb8HF,61,1224986
294,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,74,10868466
295,The Killers,0C0XlULifJtAgn6ZNCW2eu,76,6734666
296,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,76,10377575
297,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,80,4823217
298,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,81,2686684
299,Diljit Dosanjh,2FKWNmZWDBZR4dE5KX4plR,73,13637163
300,Roddy Ricch,757aE44tKEUQEqRuT6GnEB,81,8601256
301,42 Dugg,45gHcnDnMC15sgx3VL7ROG,71,736998
302,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,77,5347923
303,Big Sean,0c173mlxpT3dSFRgMO8XPh,77,10202439
304,French Montana,6vXTefBL93Dj5IqAWq6OTv,74,4743233
305,Benzz,2GYIFLUsVVHPPUzOfJndRh,62,50877
306,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,70,3402370
307,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,66,1449091
308,BLEU,3KNIG74xSTc3dj0TRy7pGX,68,1204880
309,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,65,1068288
310,U2,51Blml2LZPmy7TTiAg47vQ,76,10405497
311,Labrinth,2feDdbD5araYcm6JhFHHw7,78,2574157
312,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,79,9019368
313,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,80,17074249
314,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,74,6602604
315,Bruno & Marrone,5JXhkyafynxCvxtov7C1PV,70,4796568
316,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,76,12772713
317,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,78,7564552
318,Meek Mill,20sxb77xiYeusSH8cVdatc,74,6678775
319,Gera MX,2hejA1Dkf8v8R0koF44FvW,75,3712204
320,Kany García,69UypehHabb68utzfjAVlV,71,1816004
321,Maná,7okwEbXzyT2VffBmyQBWLz,76,8866334
322,blink-182,6FBDaR13swtiWwGhX1WQsP,78,7280923
323,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,81,17567970
324,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,73,2287660
325,Clayton & Romário,1tKrZaph4cLsnEdqC5BNEQ,68,112884
326,Dilsinho,4NUePmzDvCYqilXBFa91Hg,72,3811246
327,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,83,4325366
328,Skrillex,5he5w2lnU9x7JFhnwcekXX,74,8000352
329,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,79,19421923
330,John Legend,5y2Xq6xcjJb2jVM54GHK3t,77,6308945
331,Faouzia,5NhgsV7qPWHZqYEMKzbYvo,63,532838
332,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,81,12153919
333,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,77,8538557
334,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,78,5894725
335,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,77,8251808
336,Don Omar,33ScadVnbm2X8kkUqOkC6Z,80,8272808
337,Tame Impala,5INjqkS1o8h1imAzPqGZBb,78,6006257
338,The 1975,3mIj9lX2MWuHmhNCA7LSCW,80,5988472
339,Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,77,15588010
340,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,71,6979022
341,TWICE,7n2Ycct7Beij7Dj7meI4X0,80,15574307
342,Sam Feldt,20gsENnposVs2I4rQ5kvrf,71,720536
343,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,71,7727741
344,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,65,9868180
345,Muse,12Chz98pHFMPJEknJQMWvI,75,7206181
346,Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,74,3504485
347,Paramore,74XFHRwlV6OrjEM0A2NCMF,78,7300826
348,Slipknot,05fG473iIaoy82BF1aGhL8,78,8861367
349,ABBA,0LcJLqbBmaGUft1e9Mm8HV,79,9098127
350,Bon Jovi,58lV9VcRSjABbAbfWS6skp,76,11460683
351,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,75,21574049
352,SHAED,3KwmxIhSe9UTSEF37kwngR,58,155601
353,Duki,1bAftSH8umNcGZ0uyV7LMg,84,7345707
354,Morat,5C4PDR4LnhZTbVnKWXuDKD,83,7198426
355,Rvfv,2CCgb0KApjfQDuTppovpf8,70,352155
356,Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,82,2288431
357,Beret,0ZHPrnImGh4re3TbSNkoZl,71,2705788
358,Sean Paul,3Isy6kedDrgPYoTS1dazA9,79,4120460
359,Spice,0uq5PttqEjj3IH1bzwcrXF,67,2913193
360,INNA,2w9zwq3AktTeYYMuhMjju8,66,1174002
361,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,80,17658743
362,Bruno & Denner,0jLROJ4FhMIKMF9XzlR5IZ,58,28047
363,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,70,6725718
364,Oasis,2DaxqgrOhkeH0fpeiQq2f4,75,7946867
365,Rammstein,6wWVKhxIU2cEi0K81v7HvP,79,7253367
366,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,76,4929813
367,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,75,7310187
368,Regard,4ofCBoyEiGSePFAG500xev,69,199098
369,OMI,5MouCg6ta7zAxsfMEbc1uh,63,601616
370,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,73,1247601
371,Nea,69Etpls5a2aATUkB6NInTY,46,396145
372,Toby Romeo,2XnY6NZ6rENbLMYabjkRey,61,9168
373,NOTD,5jAMCwdNHWr7JThxtMuEyy,65,251089
374,VIZE,09agIJMxCD2k87ys9Al0f0,68,173932
375,Zion & Lennox,21451j1KhjAiaYKflxBjr1,77,6844738
376,Kim Loaiza,1QivQCLVipV61DiQiyV14A,67,3671340
377,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,71,8205194
