const,loudness,tempo,imputed_album_avg_pop_other,danceability_speechiness_feat_3.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_999.0,days_since_log,popularity_meta_album_avg_pop_other
1.0,-12.532,127.357,0,0,0,1,0,1,0,3.135537693244867,5520.0
1.0,-7.787000000000001,115.005,1,1,0,1,0,1,0,3.5553766325098297,5207.75
1.0,-4.915,160.743,1,1,0,1,0,1,0,3.367330312150578,5497.8
1.0,-6.311,147.904,1,0,1,0,1,0,1,3.9512629491657494,5032.0
1.0,-5.199,111.902,0,0,0,1,0,1,0,3.9120430052281487,4992.0
1.0,-5.745,110.058,1,1,0,1,0,1,0,1.9460529959950605,5826.333333333334
1.0,-6.0520000000000005,152.08,0,1,0,1,0,1,0,2.639128755635788,5589.0
1.0,-8.497,82.48200000000001,1,1,0,1,0,1,0,3.8918407060656484,6765.333333333334
1.0,-8.039,169.96099999999996,1,1,0,1,0,1,0,2.1973356822749484,5866.666666666666
1.0,-7.247000000000001,78.003,0,1,0,1,0,1,0,2.639128755635788,5629.5
1.0,-6.477,135.018,1,1,0,1,0,1,0,3.3322402238231783,5681.0
1.0,-3.292,123.999,1,0,0,1,0,1,0,3.7376934275237357,5292.5
1.0,-3.93,108.014,1,1,0,1,0,1,0,3.784212360932728,5917.1
1.0,-2.268,133.039,1,0,0,1,0,1,0,3.7612233712371035,6148.833333333333
1.0,-9.189,149.911,1,0,0,1,0,1,0,3.8918407060656484,4609.142857142857
1.0,-8.66,125.995,1,0,0,1,0,1,0,1.9460529959950605,5390.0
1.0,-3.509,178.145,0,1,0,1,0,1,0,3.6376124751696053,5580.0
1.0,-4.395,197.635,0,1,0,1,0,1,0,3.6376124751696053,5440.0
1.0,-6.6629999999999985,128.925,0,1,0,1,0,1,0,3.6376124751696053,5660.0
1.0,-4.763,90.057,0,1,0,1,0,1,0,3.6376124751696053,5640.0
1.0,-3.865,91.966,0,1,0,1,0,1,0,0.0009995003330834232,3268.0
1.0,-6.04,158.457,1,0,0,1,0,1,0,2.639128755635788,6176.25
1.0,-7.267,157.093,1,0,0,1,0,1,0,3.5835467158480925,6237.0
1.0,-5.145,90.01,1,0,1,0,1,0,1,2.7726512202867375,4148.0
