name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,2022-07-07,159123,84,0.87,0.161,0.479,0.000157,0.209,-7.779,0.165,104.059,4,99,999.0,999.0,999.0,999.0,999.0
Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,81,0.522,0.536,0.385,0.0,0.135,-7.355,0.0288,89.792,4,2051,1.0,3.0,2.0,2.0,2.0
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,91,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,938,3.0,3.0,3.0,2.0,2.0
I Was Never There,"My Dear Melancholy,",The Weeknd,2018-03-30,241066,91,0.32299999999999995,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,4,1659,3.0,3.0,3.0,2.0,2.0
Starboy,Starboy,The Weeknd,2016-11-25,230453,90,0.679,0.141,0.5870000000000001,6.35e-06,0.13699999999999998,-7.015,0.276,186.003,4,2149,3.0,3.0,3.0,2.0,2.0
Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-30,228373,90,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,3,1659,3.0,3.0,3.0,2.0,2.0
Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,90,0.68,0.0212,0.826,1.24e-05,0.5429999999999999,-5.487,0.0309,118.051,4,938,3.0,3.0,3.0,2.0,2.0
Die For You,Starboy,The Weeknd,2016-11-24,260253,87,0.586,0.111,0.525,0.0,0.134,-7.162999999999999,0.0615,133.629,4,2150,3.0,3.0,3.0,2.0,2.0
The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,88,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.00299999999999,4,2604,3.0,3.0,3.0,2.0,2.0
Lost in the Fire (feat. The Weeknd),Hyperion,Gesaffelstein,2019-03-08,202093,85,0.6579999999999999,0.0933,0.6709999999999999,0.000927,0.115,-12.21,0.0363,100.96600000000001,4,1316,999.0,999.0,999.0,999.0,999.0
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,After Hours (Deluxe),The Weeknd,2020-03-20,191013,81,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.09100000000001,4,938,3.0,3.0,3.0,2.0,2.0
You Right,Planet Her,Doja Cat,2021-06-25,186173,84,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4,476,3.0,3.0,3.0,2.0,2.0
Don’t Blame Me,reputation,Taylor Swift,2017-11-10,236413,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.718999999999999,0.0386,135.917,4,1799,1.0,2.0,2.0,2.0,2.0
august,folklore,Taylor Swift,2020-07-24,261922,87,0.532,0.5379999999999999,0.623,7.28e-05,0.0925,-9.208,0.0331,89.93700000000001,4,812,1.0,2.0,2.0,2.0,2.0
Blank Space,1989,Taylor Swift,2014-10-27,231826,77,0.753,0.085,0.6779999999999999,1.64e-06,0.13,-5.421,0.0644,96.006,4,2909,1.0,2.0,2.0,2.0,2.0
Cruel Summer,Lover,Taylor Swift,2019-08-23,178426,86,0.552,0.11699999999999999,0.7020000000000001,2.0600000000000003e-05,0.105,-5.707000000000001,0.157,169.99400000000003,4,1148,1.0,2.0,2.0,2.0,2.0
Lover,Lover,Taylor Swift,2019-08-23,221306,86,0.359,0.49200000000000005,0.5429999999999999,1.58e-05,0.11800000000000001,-7.582000000000001,0.0919,68.53399999999999,4,1148,1.0,2.0,2.0,2.0,2.0
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,613026,85,0.631,0.27399999999999997,0.518,0.0,0.08800000000000001,-8.771,0.0303,93.023,4,336,1.0,2.0,2.0,2.0,2.0
cardigan,folklore,Taylor Swift,2020-07-24,239560,83,0.613,0.537,0.581,0.00034500000000000004,0.25,-8.588,0.0424,130.033,4,812,1.0,2.0,2.0,2.0,2.0
Paper Rings,Lover,Taylor Swift,2019-08-23,222400,83,0.8109999999999999,0.0129,0.7190000000000001,1.36e-05,0.0742,-6.553,0.0497,103.979,4,1148,1.0,2.0,2.0,2.0,2.0
