,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,days_since,popularity_meta,followers,popularity_count,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other,time_signature_3,time_signature_4,time_signature_5,liveness_speechiness_feat_2.0,liveness_speechiness_feat_3.0,liveness_speechiness_feat_999.0,danceability_speechiness_feat_3.0,danceability_speechiness_feat_999.0,length_speechiness_feat_3.0,length_speechiness_feat_5.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_3.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_5.0,length_tempo_feat_999.0,days_since_log,acousticness_loudness,instrumentalness_loudness,instrumentalness_acousticness,followers_root
15,173119,94,0.8759999999999999,0.0706,0.498,0.0,0.14300000000000002,-7.511,0.0478,122.016,161,97.0,59468514.0,21,11,85.0,92.6,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,5.081410576145298,0.0012514375356918936,0.0,0.0,7711.583105951721
16,237894,92,0.795,0.0225,0.684,0.0,0.6579999999999999,-3.971,0.0419,114.011,161,97.0,59468514.0,21,11,85.1,92.8,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,5.081410576145298,0.0014268645362078291,0.0,0.0,7711.583105951721
17,227628,91,0.8290000000000001,0.0151,0.799,0.000543,0.242,-5.3889999999999985,0.0897,97.013,161,97.0,59468514.0,21,11,85.15,92.9,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,5.081410576145298,0.0005199487998497042,1.8697496577376777e-05,8.1993e-06,7711.583105951721
18,198367,91,0.6629999999999999,0.229,0.7859999999999999,0.0,0.219,-3.51,0.195,196.12,161,97.0,59468514.0,21,11,85.15,92.9,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,5.081410576145298,0.018587511465004345,0.0,0.0,7711.583105951721
19,230400,89,0.564,0.35600000000000004,0.903,0.0,0.175,-3.221,0.307,78.293,161,97.0,59468514.0,21,11,85.25,93.1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,5.081410576145298,0.034313778881045025,0.0,0.0,7711.583105951721
20,230746,89,0.807,0.0451,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,350,89.0,105322954.0,13,2,75.75,88.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.857936011622235,0.0032156805424589257,1.9893012668426613e-06,1.25829e-06,10262.697208823809
21,207853,88,0.7879999999999999,0.281,0.8590000000000001,0.0,0.0424,-2.724,0.0856,141.02,350,89.0,105322954.0,13,2,75.83333333333333,89.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.857936011622235,0.037869721688542156,0.0,0.0,10262.697208823809
22,263400,87,0.599,0.163,0.448,0.0,0.106,-6.312,0.0232,95.05,2051,89.0,105322954.0,13,3,75.91666666666667,83.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7.626083245639302,0.004091227444536007,0.0,0.0,10262.697208823809
23,206070,82,0.7559999999999999,0.182,0.6970000000000001,0.0,0.333,-6.377000000000002,0.0401,94.996,190,80.0,28573844.0,6,2,74.4,74.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5.24702933530453,0.00447546900763532,0.0,0.0,5345.450776127304
24,233712,86,0.825,0.581,0.652,0.0,0.0931,-3.1830000000000003,0.0802,95.977,2051,89.0,105322954.0,13,3,76.0,84.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7.626083245639302,0.05734596365845138,0.0,0.0,10262.697208823809
25,258986,66,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,3573,89.0,105322954.0,13,2,77.66666666666667,66.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8.181161137900224,0.005526702989336285,4.224695530563486e-06,0.000281648,10262.697208823809
26,209026,85,0.574,0.0529,0.852,0.0,0.161,-1.248,0.0397,123.038,15,89.0,105322954.0,13,1,76.08333333333333,76.08333333333333,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.7081168655467533,0.033964599769888235,0.0,0.0,10262.697208823809
27,281560,66,0.7809999999999999,0.474,0.445,0.0,0.184,-6.061,0.0295,78.998,3573,89.0,105322954.0,13,2,77.66666666666667,66.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,8.181161137900224,0.012902972559052265,0.0,0.0,10262.697208823809
29,207520,81,0.522,0.536,0.385,0.0,0.135,-7.355,0.0288,89.792,2051,89.0,105322954.0,13,3,76.41666666666667,86.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7.626083245639302,0.00990830657150872,0.0,0.0,10262.697208823809
30,200040,91,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,938,93.0,52885058.0,8,2,88.14285714285714,90.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,6.843751015103737,4.146271837079007e-05,2.7092762551872417e-06,1.39284e-07,7272.211355564413
31,241066,91,0.32299999999999995,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,1659,93.0,52885058.0,8,2,88.14285714285714,90.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,7.413970892963017,0.0088396062167083,1.0084621176808062e-05,2.3004e-05,7272.211355564413
32,230453,90,0.679,0.141,0.5870000000000001,6.35e-06,0.13699999999999998,-7.015,0.276,186.003,2149,93.0,52885058.0,8,2,88.28571428571429,87.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,7.672758361975115,0.0028652581856717786,1.2903822325543118e-07,8.953499999999999e-07,7272.211355564413
33,228373,90,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,1659,93.0,52885058.0,8,2,88.28571428571429,91.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,7.413970892963017,0.0069268680826054295,0.0,0.0,7272.211355564413
34,215626,90,0.68,0.0212,0.826,1.24e-05,0.5429999999999999,-5.487,0.0309,118.051,938,93.0,52885058.0,8,2,88.28571428571429,91.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,6.843751015103737,0.0007041512272376057,4.118620385729392e-07,2.6288e-07,7272.211355564413
35,260253,87,0.586,0.111,0.525,0.0,0.134,-7.1629999999999985,0.0615,133.629,2150,93.0,52885058.0,8,2,88.71428571428571,90.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,7.67322358623788,0.0021633813252519294,0.0,0.0,7272.211355564413
